slug,pref,nameJa,readJa,shortNameJa,latLng,shindo
shika-machi,石川県,志賀町,しかまち,志賀,"37.006295,136.7754817",7
nanao-shi,石川県,七尾市,ななおし,七尾,"37.0431298,136.9647836",6強
wajima-shi,石川県,輪島市,わじまし,輪島,"37.3877297,136.8980448",6強
suzu-shi,石川県,珠洲市,すずし,珠洲,"37.4350644,137.2575387",6強
anamizu-machi,石川県,穴水町,あなみずまち,穴水,"37.2310786,136.9097869",6強
nakanoto-machi,石川県,中能登町,なかのとまち,中能登,"36.9888883,136.8989741",6弱
noto-cho,石川県,能登町,のとちょう,能登町,"37.3103458,137.1453944",6弱
kanazawa-shi,石川県,金沢市,かなざわし,金沢市,"36.5610528,136.6539987",5強
komatsu-shi,石川県,小松市,こまつし,小松,"36.4086933,136.4429906",5強
kaga-shi,石川県,加賀市,かがし,加賀市,"36.302714,136.3123463",5強
hakui-shi,石川県,羽咋市,はくいし,羽咋市,"36.8936418,136.7763783",5強
kahoku-shi,石川県,かほく市,かほくし,かほく,"36.7197904,136.7042617",5強
nomi-shi,石川県,能美市,のみし,能美市,"36.4469906,136.5514939",5強
hodatsushimizu-cho,石川県,宝達志水町,ほうだつしみずちょう,宝達志水,"36.8626154,136.7942944",5強
nagaoka-shi,新潟県,長岡市,ながおかし,長岡,"37.4465439,138.8463467",6弱
niigata-chuo-ku,新潟県,新潟中央区,にいがたちゅうおうく,中央区,"37.9225807,139.0408513",5強
niigata-minami-ku,新潟県,新潟南区,にいがたみなみく,南区,"37.7658305,139.0165578",5強
niigata-nishi-ku,新潟県,新潟西区,にいがたにしく,西区,"37.8663951,138.9446467",5強
niigata-nishikan-ku,新潟県,新潟西蒲区,にいがたにしかんく,西蒲区,"37.7604538,138.8866666",5強
sanjo-shi,新潟県,三条市,さんじょうし,三条,"37.636855,138.9591687",5強
kashiwazaki-shi,新潟県,柏崎市,かしわざきし,柏崎,"37.3649068,138.5551813",5強
mitsuke-shi,新潟県,見附市,みつけし,見附,"37.5316072,138.9102508",5強
tsubame-shi,新潟県,燕市,つばめし,燕市,"37.6731551,138.8798818",5強
itoigawa-shi,新潟県,糸魚川市,いといがわし,糸魚川,"37.0390333,137.8600801",5強
myoko-shi,新潟県,妙高市,みょうこうし,妙高,"37.0252366,138.2508499",5強
joetsu-shi,新潟県,上越市,じょうえつし,上越市,"37.1476008,138.2332572",5強
sado-shi,新潟県,佐渡市,さどし,佐渡,"38.0182651,138.3658082",5強
minamiuonuma-shi,新潟県,南魚沼市,みなみうおぬまし,南魚沼,"37.06555,138.8734643",5強
aga-machi,新潟県,阿賀町,あがまち,阿賀,"37.6945261,139.3992458",5強
kariwa-mura,新潟県,刈羽村,かりわむら,刈羽,"37.4220701,138.6199358",5強
toyama-shi,富山県,富山市,とやまし,富山市,"36.6957499,137.2110711",5強
takaoka-shi,富山県,高岡市,たかおかし,高岡,"36.7542615,137.0229471",5強
himi-shi,富山県,氷見市,ひみし,氷見,"36.8558838,136.97035",5強
oyabe-shi,富山県,小矢部市,おやべし,小矢部,"36.6756104,136.8661674",5強
nanto-shi,富山県,南砺市,なんとし,南砺,"36.5574863,136.8728661",5強
imizu-shi,富山県,射水市,いみずし,射水,"36.7304431,137.0728155",5強
funahashi-mura,富山県,舟橋村,ふなはしむら,舟橋,"36.7035515,137.3050224",5強
awara-shi,福井県,あわら市,あわらし,あわら,"36.2113126,136.2265645",5強
